question,answer
Come posso fare un ordine?,"Acquistare online èfacile e comodo, puoi sempre scegliere se ricevere il tuo ordinedirettamente a casa o in cantiereeritirarlo in negozio.Vai sul sitowww.tecnomat.itseleziona il negozioda cui vuoi acquistareQuando entri per la prima volta sul sito, scegli il negozio più vicino a te o il negozio di riferimento perpoter conoscere prodotti, gamme, prezzi e disponibilitàdel punto vendita selezionato. Puoi modificare la tua scelta in qualsiasi momento in modo facile e veloce, vai sul nome del negozio e clicca ""cambia negozio"".crea il tuo carrelloe procedi all'acquistoPer acquistare su Tecnomat devi essere registrato. Se hai già un account accedi con il tuo indirizzo, email e password, se sei un nuovo clienteprocedi alla registrazione.scegli sericevere il tuo ordinedirettamente a casa oritirarlo nel negozioselezionato in precedenzaPer conoscere i tempi di preparazione e spedizione del tuo negozio di riferimento, puoi verificare direttamente nella scheda del prodotto o a carrello.seleziona il metodo di pagamentotra quelli proposti:- carta di credito (Mastercard, Visa, Maestro, Visa Electron e PostePay)- bonifico bancario (i tempi di preparazione devono essere calcolati dalla data in cui Tecnomat riceve il pagamento)- Paypal-Paga in 3 rate con Paypalcontrolla i dettaglidel tuo ordineprocedi all'acquistoe ricevi una email di conferma.Puoi controllare sempre tutti i dettagli relativi al tuo ordine nella tua Area personale."
Posso controllare lo stato dell'ordine?,"Puoi sempreverificare lo stato del tuo ordine dall'Area personale.Itempi di ritirosono, in media, di5 giorni lavorativie possono subire variazioni in base alla scelta del negozio in cui viene fatto l'ordine o dalla tipologia di prodotto acquistato.Itempi di consegnasono, in media, di10 giorni lavorativie possono variare in base ai prodotti richiesti, dal negozio in cui viene fatto l’ordine, dalla distanza dal punto vendita, dalla località di spedizione e dalla merce ordinata."
Posso modificare un ordine?,"La modifica di un ordinedipende da diversi fattorie non è possibile effettuarla in autonomia nella propria Area personale.Per fare una modifica al tuo ordine,Contattacicon tutti i dettagli.Puoi chiedere di fare una variazione per le seguenti motivazioni:eliminareun prodottoaggiungereun prodottocambiare la quantitàdi uno o più prodotti (la modifica dipende dalla disponibilità del prodotto nel negozio scelto per l'acquisto)."
Come posso fare il reso di un prodotto acquistato?,"Come gesto commerciale, Tecnomat accetta le richieste di reso anche permerce conforme e non difettosa.Puoi fare ilresodi un prodottoentro 30 giorni dall'acquisto(escluso i prodotti su misura e personalizzati), devi essere in possesso di:scontrino o fatturaprodotto completo di imballo e in perfetto stato di conservazione.L'accettazione del reso è a discrezione del negozio.La riconsegna di un prodotto acquistato online deve avvenire con:spedizioneall'indirizzo del negozio scelto in fase di acquistoconsegna direttain qualsiasi negozio Tecnomat.Per conoscere di più sulla modalità per effettuare il reso, consulta la paginaReso e rimborsoo rivolgiti all'Accoglienza in negozio."
Quali sono i tempi di preparazione per un ordine online?,"Itempi di preparazionedi un ordine sono, in media, di5 giorni lavorativie dipendono:dalla tipologia dei prodotti acquistatidal negozio da cui si decide di fare l'ordine.Puoiverificare i giorni di preparazionedirettamente nella pagina del prodotto enel riepilogo del carrello.In caso di pagamento con bonifico bancario, le tempistiche partono dalla data di ricezione del pagamento."
Cosa devo fare se il prodotto presenta un difetto?,"Seil prodotto acquistato presenta un difetto, Tecnomat fornisce l’assistenza prevista, provvedendo con l’eventuale sostituzione o riparazione dello stesso.Il reso del prodotto difettoso può essere effettuatoentro 2 anni dai clienti privatiedentro 1 anno daiprofessionisti.In caso di acquisto in negozio è necessario fare il reso del prodotto fisicamente presso il punto vendita,se l'acquisto è avvenuto online puoi fare il reso fisicamente presso qualsiasi punto vendita oppure spedire il prodotto al negozio di acquisto, previo contatto.Per ulteriori informazioni consulta lapagina reso e rimborso."
Posso fare in negozio il reso di un prodotto acquistato online?,"Il prodotto acquistato online può essere reso attraverso due modalità:spedizioneall'indirizzo del negozio scelto in fase di acquistoconsegna direttain qualsiasi negozio Tecnomat.Puoirichiedere il resodi un prodottoentro 30 giorni dall'acquisto, devi essere in possesso di:scontrino o fatturaprodotto completo di imballo e in perfetto stato di conservazione.L'accettazione del reso è a discrezione del negozio.Per ulteriori informazioni consulta lapagina reso e rimborso."
Quali sono i tempi per avere il rimborso di un acquisto online?,"I tempi di rimborso possono variare se l'ordine è annullato prima o dopo il prelievo dell'importo.Quando si inserisce un pagamento,l’importo totale dell’ordine non è addebitato immediatamentema è richiesta solo la pre-autorizzazione, con plafond necessario all'acquisto. L’addebito effettivoavvienesolo quando i prodotti sono pronti per il ritiro o per la consegna.Se l'ordine è annullato prima del prelevamento dell'importo, l'autorizzazione decade automaticamente al momento dell’annullamento dell’ordine, se avviene dopo il prelevamento del denaro, l'importo è riaccreditato nei 14 giorni successivi all'inserimento.In caso di reso, se il cliente sceglie di essere rimborsato, vieneriaccreditato il solo importo relativo al prezzo della merce, sono pertanto escluse dal rimborso eventuali spese di preparazione, spedizione e servizi accessori."
Esiste un minimo d'ordine per gli acquisti online?,"Acquistare online è facile e comodo, puoi semprescegliere se ricevere il tuo ordine direttamente a casaoin cantiere, oppureritirarlo in negozio.Il minimo d'ordineper un acquisto Tecnomat onlineè di €50.Per un periodo limitato, puoi acquistare senza un minimo d'ordine solo per i negozi di:AsseminiCerro MaggioreFerraraSassari."
Come posso usufruire del diritto di recesso per un acquisto online?,"Per usufruire del diritto di recesso per un acquisto online hai tempo14 giornidalla ricezione dell'ordine.Per avvalersi del diritto di recesso devi comunicare a Tecnomat la tua intenzione a recedere, compilando e inviando ilmodulo che trovi nella sezione Modulisticadella tua Area personale.Entro 14 giorni dalla richiesta devi riconsegnare il prodotto attraverso 2 modalità:spedizione al negozioselezionato in fase di acquisto (spese di spedizione a tuo carico);consegna direttain qualunque negozio.Tecnomat effettua le necessarie verifiche eprocede al rimborso entro i 14 giornidalla ricezione della comunicazione.Per maggiori informazioni consulta lapagina recesso."
